estrato;arv;dap;ht;vicc;visc
1;1;20,1;24,6;0,36396;0,30717
1;2;19,2;22,4;0,31432;0,27431
1;3;16,1;23,3;0,23148;0,19962
1;4;16,6;23,9;0,25083;0,21291
1;5;21,2;24,5;0,40438;0,35547
1;6;12,3;22,1;0,13419;0,11477
1;7;9,8;19,4;0,0696;0,0615
1;8;22,4;25,4;0,46841;0,41139
1;9;14,1;22,6;0,17478;0,1505
1;10;16,1;24,9;0,24839;0,21853
1;11;19,6;24,9;0,3352;0,28805
1;12;17,2;24,5;0,2585;0,22928
1;13;18,1;25,6;0,34418;0,30384
1;14;23,2;26,8;0,51185;0,43705
1;15;21,2;27,1;0,41608;0,36784
1;16;18,7;24,9;0,29614;0,26061
1;17;16,9;25;0,26832;0,23628
1;18;15,2;24,5;0,18478;0,16206
1;19;20,1;27,8;0,41809;0,37606
1;20;8,3;15,6;0,03914;0,03364
1;21;22;29,9;0,49449;0,43665
1;22;17,5;27,5;0,32376;0,28671
1;23;18,3;27,8;0,32437;0,2795
1;24;19,5;27,6;0,34014;0,3028
1;25;10,7;20,3;0,07773;0,06742
1;26;14,4;23,9;0,18231;0,16078
1;27;6,6;13,5;0,02114;0,01792
1;28;10,6;19,1;0,07896;0,06639
1;29;17,8;23,4;0,26899;0,23496
1;30;16,1;22,9;0,23514;0,2026
1;31;20,7;24,1;0,34923;0,30592
1;32;18,7;24;0,31607;0,28034
1;33;13,4;23,2;0,16328;0,14145
1;34;21,3;24,2;0,34815;0,30488
1;35;11,7;21,7;0,11684;0,10191
1;36;16;24,1;0,20473;0,17646
1;37;19,9;25;0,35738;0,31678
1;38;22,5;25,4;0,45341;0,39626
1;39;18,7;26,3;0,35149;0,31044
1;40;17,8;25,2;0,29213;0,25589
1;41;14,9;24,6;0,20952;0,18294
1;42;18,6;24,8;0,30868;0,2678
1;43;15,5;23;0,20691;0,18093
1;44;18,7;24;0,28032;0,24076
1;45;15,3;24,4;0,21765;0,18755
1;46;13,3;22,2;0,12736;0,11374
1;47;10,7;19,2;0,07122;0,06232
1;48;21,4;27,2;0,41269;0,35941
1;49;22,7;25,4;0,44737;0,38755
1;50;20,2;25,3;0,36064;0,31722
