fragmento;parcela;larg_frag;areafrag;larg_parc;areaparc;vtcc
1;1;2150;16,06;10;1095,15;15,11
1;2;2150;16,06;10;1153,2;15,79
1;3;2150;16,06;10;1200;14,15
1;4;2150;16,06;10;1116;13,51
1;5;2150;16,06;10;1107;13,99
1;6;2150;16,06;10;1143,9;14,83
1;7;2150;16,06;10;1072,5;12,34
1;8;2150;16,06;10;1188,72;14,38
1;9;2150;16,06;10;638,58;7,98
1;10;2150;16,06;10;666;7,86
1;11;2150;16,06;10;680,4;9,77
1;12;2150;16,06;10;652,5;8,95
1;13;2150;16,06;10;746,64;7,36
1;14;2150;16,06;10;734,7;7,84
1;15;2150;16,06;10;706,56;7,57
1;16;2150;16,06;10;723,45;9,31
1;17;2150;16,06;10;618,75;8,9
1;18;2150;16,06;10;657;9,23
1;19;2150;16,06;10;733,2;8,36
1;20;2150;16,06;10;671,4;7,22
1;21;2150;16,06;10;648;9,26
1;22;2150;16,06;10;675,27;8,22
1;23;2150;16,06;10;733,2;7,01
1;24;2150;16,06;10;654,9;8,08
1;25;2150;16,06;10;662,46;7,1
1;26;2150;16,06;10;637,83;8,96
1;27;2150;16,06;10;693,63;7,8
1;28;2150;16,06;10;701,19;9,05
1;29;2150;16,06;10;684;6,7
1;30;2150;16,06;10;689,91;8,15
