fazenda;talhao;areatal;parcela;fila;arv;fuste;areaparc;hd;dg;dap;ht
1;1;75,87;1;1;1;1;370;30,17;16,07;18,15;29
1;1;75,87;1;1;2;1;370;30,17;16,07;17,85;29,7
1;1;75,87;1;1;3;1;370;30,17;16,07;16,55;28
1;1;75,87;1;1;4;1;370;30,17;16,07;16,05;27,7
1;1;75,87;1;1;5;1;370;30,17;16,07;14,85;26,8
1;1;75,87;1;1;6;1;370;30,17;16,07;17,3;
1;1;75,87;1;1;7;1;370;30,17;16,07;17,5;
1;1;75,87;1;1;8;1;370;30,17;16,07;15,2;
1;1;75,87;1;1;9;1;370;30,17;16,07;0;
1;1;75,87;1;1;10;1;370;30,17;16,07;14,8;
1;1;75,87;1;1;11;1;370;30,17;16,07;18,1;
1;1;75,87;1;1;12;1;370;30,17;16,07;19,15;30
1;1;75,87;1;1;13;1;370;30,17;16,07;13,75;
1;1;75,87;1;1;14;1;370;30,17;16,07;19,55;30,7
1;1;75,87;1;1;15;1;370;30,17;16,07;8,05;
1;1;75,87;1;1;16;1;370;30,17;16,07;13,15;
1;1;75,87;1;1;17;1;370;30,17;16,07;15,6;
1;1;75,87;1;1;18;1;370;30,17;16,07;18,75;
1;1;75,87;1;1;19;1;370;30,17;16,07;16,3;
1;1;75,87;1;1;20;1;370;30,17;16,07;11;
1;1;75,87;1;1;21;1;370;30,17;16,07;19,2;29,8
1;1;75,87;1;1;22;1;370;30,17;16,07;16,9;
1;1;75,87;1;1;23;1;370;30,17;16,07;15,8;
1;1;75,87;1;1;24;1;370;30,17;16,07;15,4;
1;1;75,87;1;1;25;1;370;30,17;16,07;19,05;
1;1;75,87;1;1;26;1;370;30,17;16,07;17,15;
1;1;75,87;1;1;27;1;370;30,17;16,07;16,55;
1;1;75,87;1;1;28;1;370;30,17;16,07;11,9;
1;1;75,87;1;1;29;1;370;30,17;16,07;17;
1;1;75,87;1;1;30;1;370;30,17;16,07;14,05;
1;1;75,87;1;1;31;1;370;30,17;16,07;16,65;
1;1;75,87;1;1;32;1;370;30,17;16,07;14,8;
1;1;75,87;1;1;33;1;370;30,17;16,07;13,45;
1;1;75,87;1;1;34;1;370;30,17;16,07;15,15;
1;1;75,87;1;1;35;1;370;30,17;16,07;17,95;
1;1;75,87;1;1;36;1;370;30,17;16,07;17,9;
1;1;75,87;1;1;37;1;370;30,17;16,07;13,7;
1;1;75,87;1;1;38;1;370;30,17;16,07;17,65;
1;1;75,87;1;1;39;1;370;30,17;16,07;13,85;
1;1;75,87;1;1;40;1;370;30,17;16,07;17,25;
1;1;75,87;1;1;41;1;370;30,17;16,07;15,5;
1;1;75,87;1;1;42;1;370;30,17;16,07;16,5;
1;1;75,87;1;1;43;1;370;30,17;16,07;17,8;
1;1;75,87;1;1;44;1;370;30,17;16,07;12,9;
1;1;75,87;1;1;45;1;370;30,17;16,07;16;
1;1;75,87;1;1;46;1;370;30,17;16,07;18,55;
1;1;75,87;1;1;47;1;370;30,17;16,07;12,75;
1;1;75,87;1;1;48;1;370;30,17;16,07;15,9;
1;1;75,87;1;1;49;1;370;30,17;16,07;16,15;
1;1;75,87;1;1;50;1;370;30,17;16,07;14,4;
1;1;75,87;2;1;1;1;370;29,67;16,38;18,65;28,1
1;1;75,87;2;1;2;1;370;29,67;16,38;14,15;26,4
1;1;75,87;2;1;3;1;370;29,67;16,38;16,75;27,6
1;1;75,87;2;1;4;1;370;29,67;16,38;16,65;28,1
1;1;75,87;2;1;5;1;370;29,67;16,38;16,45;27,6
1;1;75,87;2;1;6;1;370;29,67;16,38;17,05;
1;1;75,87;2;1;7;1;370;29,67;16,38;12,6;
1;1;75,87;2;1;8;1;370;29,67;16,38;14;
1;1;75,87;2;1;9;1;370;29,67;16,38;12,85;
1;1;75,87;2;1;10;1;370;29,67;16,38;17,15;
1;1;75,87;2;1;11;1;370;29,67;16,38;18,1;
1;1;75,87;2;1;12;1;370;29,67;16,38;17,35;
1;1;75,87;2;1;13;1;370;29,67;16,38;18,4;
1;1;75,87;2;1;14;1;370;29,67;16,38;16,5;
1;1;75,87;2;1;15;1;370;29,67;16,38;16,9;
1;1;75,87;2;1;16;1;370;29,67;16,38;13,8;
1;1;75,87;2;1;17;1;370;29,67;16,38;18,05;
1;1;75,87;2;1;18;1;370;29,67;16,38;11,8;
1;1;75,87;2;1;19;1;370;29,67;16,38;16;
1;1;75,87;2;1;20;1;370;29,67;16,38;17,65;
1;1;75,87;2;1;21;1;370;29,67;16,38;19,3;
1;1;75,87;2;1;22;1;370;29,67;16,38;18,75;
1;1;75,87;2;1;23;1;370;29,67;16,38;13,35;
1;1;75,87;2;1;24;1;370;29,67;16,38;13,35;
1;1;75,87;2;1;25;1;370;29,67;16,38;16,25;
1;1;75,87;2;1;26;1;370;29,67;16,38;15,05;
1;1;75,87;2;1;27;1;370;29,67;16,38;0;
1;1;75,87;2;1;28;1;370;29,67;16,38;18,25;
1;1;75,87;2;1;29;1;370;29,67;16,38;16,75;
1;1;75,87;2;1;30;1;370;29,67;16,38;13,8;
1;1;75,87;2;1;31;1;370;29,67;16,38;19,3;
1;1;75,87;2;1;32;1;370;29,67;16,38;10;
1;1;75,87;2;1;33;1;370;29,67;16,38;19,3;
1;1;75,87;2;1;34;1;370;29,67;16,38;16,95;
1;1;75,87;2;1;35;1;370;29,67;16,38;10,65;
1;1;75,87;2;1;36;1;370;29,67;16,38;22,5;30
1;1;75,87;2;1;37;1;370;29,67;16,38;12,95;
1;1;75,87;2;1;38;1;370;29,67;16,38;20;29,4
1;1;75,87;2;1;39;1;370;29,67;16,38;8,8;
1;1;75,87;2;1;40;1;370;29,67;16,38;19;
1;1;75,87;2;1;41;1;370;29,67;16,38;13,95;
1;1;75,87;2;1;42;1;370;29,67;16,38;19,35;
1;1;75,87;2;1;43;1;370;29,67;16,38;10,45;
1;1;75,87;2;1;44;1;370;29,67;16,38;13,4;
1;1;75,87;2;1;45;1;370;29,67;16,38;18;
1;1;75,87;2;1;46;1;370;29,67;16,38;16,4;
1;1;75,87;2;1;47;1;370;29,67;16,38;16,35;
1;1;75,87;2;1;48;1;370;29,67;16,38;18,2;
1;1;75,87;2;1;49;1;370;29,67;16,38;20,4;29,6
1;1;75,87;2;1;50;1;370;29,67;16,38;17,9;
1;1;75,87;3;1;1;1;370;29,57;16,55;16,85;26,8
1;1;75,87;3;1;2;1;370;29,57;16,55;0;
1;1;75,87;3;1;3;1;370;29,57;16,55;19,95;29,1
1;1;75,87;3;1;4;1;370;29,57;16,55;17,25;27,2
1;1;75,87;3;1;5;1;370;29,57;16,55;18,4;28,4
1;1;75,87;3;1;6;1;370;29,57;16,55;0;
1;1;75,87;3;1;7;1;370;29,57;16,55;19,45;29
1;1;75,87;3;1;8;1;370;29,57;16,55;19,5;
1;1;75,87;3;1;9;1;370;29,57;16,55;15,6;
1;1;75,87;3;1;10;1;370;29,57;16,55;20,05;29,1
1;1;75,87;3;1;11;1;370;29,57;16,55;0;
1;1;75,87;3;1;12;1;370;29,57;16,55;0;
1;1;75,87;3;1;13;1;370;29,57;16,55;15,85;
1;1;75,87;3;1;14;1;370;29,57;16,55;17,9;
1;1;75,87;3;1;15;1;370;29,57;16,55;14,1;
1;1;75,87;3;1;16;1;370;29,57;16,55;17,95;
1;1;75,87;3;1;17;1;370;29,57;16,55;15,55;
1;1;75,87;3;1;18;1;370;29,57;16,55;15,95;
1;1;75,87;3;1;19;1;370;29,57;16,55;18,4;
1;1;75,87;3;1;20;1;370;29,57;16,55;16,6;
1;1;75,87;3;1;21;1;370;29,57;16,55;12,25;
1;1;75,87;3;1;22;1;370;29,57;16,55;15;
1;1;75,87;3;1;23;1;370;29,57;16,55;0;
1;1;75,87;3;1;24;1;370;29,57;16,55;17,85;
