idparcela;datum;x;y;vcom
58160;SAD69;414654;7678386;233,23
58161;SAD69;414247;7677775;215,21
58164;SAD69;414457;7677581;244,20
58162;SAD69;414070;7677582;216,77
58165;SAD69;414649;7677971;194,90
58159;SAD69;415085;7678765;255,55
58168;SAD69;415042;7678341;255,42
58167;SAD69;414851;7678161;222,40
58176;SAD69;414889;7677210;197,64
58172;SAD69;415266;7677787;196,05
58171;SAD69;415470;7677992;196,76
58169;SAD69;415469;7678375;219,41
58163;SAD69;414650;7677372;233,06
58174;SAD69;415048;7677614;160,52
58166;SAD69;415053;7677970;255,72
58170;SAD69;415675;7678160;213,09
58173;SAD69;415661;7677785;296,99
58178;SAD69;415248;7676792;201,00
58180;SAD69;415652;7677358;290,81
58182;SAD69;416055;7677791;300,85
58181;SAD69;415854;7677566;282,39
58175;SAD69;415465;7677586;246,43
58179;SAD69;415451;7676979;203,00
58177;SAD69;415276;7677213;227,48
56451;SAD69;416250;7677572;294,46
56455;SAD69;416220;7677124;253,33
56450;SAD69;416620;7677322;296,95
56457;SAD69;415984;7676685;157,18
56456;SAD69;416009;7676942;245,46
56452;SAD69;415854;7676974;244,77
56454;SAD69;415863;7676378;220,24
