"ncluster";"cluster";"nparcs";"areaparc";"volume"
62;7;18;800;111,889452185196
62;11;6;800;36,406831276189
62;12;17;800;103,652196170028
62;13;20;800;124,618058351052
62;14;9;800;46,9484873886258
62;17;14;800;99,3288631033732
62;22;19;800;115,648852070716
62;23;11;800;65,3083541976165
62;31;11;800;65,5675028426316
62;33;8;800;43,8419217227475
62;34;19;800;115,28762230438
62;41;16;800;92,3052756227093
62;45;8;800;44,6624245645223
62;47;14;800;77,5371780010939
62;50;16;800;97,8754889913692
62;55;16;800;90,1708917492314
62;60;16;800;103,223114767461
62;62;18;800;106,202720604637
