"arv";"dap";"ht";"vcomcc";"vcomsc"
1;8,3;15,6;0,0367916;0,0316216
2;9,8;19,4;0,065424;0,05781
3;10,6;19,1;0,0742224;0,0624066
4;10,7;19,2;0,0669468;0,0585808
5;10,7;20,3;0,0730662;0,0633748
6;11,7;21,7;0,1098296;0,0957954
7;12,3;22,1;0,1261386;0,1078838
8;13,4;23,2;0,1534832;0,132963
9;14,1;22,6;0,1642932;0,14147
10;14,4;23,9;0,1713714;0,1511332
11;14,9;24,6;0,1969488;0,1719636
12;15,3;24,4;0,204591;0,176297
13;15,5;23;0,1944954;0,1700742
14;16;24,1;0,1924462;0,1658724
15;16,1;23,3;0,2175912;0,1876428
16;16,1;24,9;0,2334866;0,2054182
17;16,6;23,9;0,2357802;0,2001354
18;16,9;25;0,2522208;0,2221032
19;17,2;24,5;0,24299;0,2155232
20;17,5;27,5;0,3043344;0,2695074
21;17,8;23,4;0,2528506;0,2208624
22;18,1;25,6;0,3235292;0,2856096
23;18,6;24,8;0,2901592;0,251732
24;18,7;24;0,2635008;0,2263144
25;18,7;24,9;0,2783716;0,2449734
26;18,7;26,3;0,3304006;0,2918136
27;19,2;22,4;0,2954608;0,2578514
28;19,5;27,6;0,3197316;0,284632
29;19,6;24,9;0,315088;0,270767
30;20,1;24,6;0,3421224;0,2887398
31;20,1;27,8;0,3930046;0,3534964
32;20,2;25,3;0,3390016;0,2981868
33;20,7;24,1;0,3282762;0,2875648
34;21,2;27,1;0,3911152;0,3457696
35;21,3;24,2;0,327261;0,2865872
36;21,4;27,2;0,3879286;0,3378454
37;22;29,9;0,4648206;0,410451
38;22,4;25,4;0,4403054;0,3867066
