"arv";"dap";"ht";"vcomcc";"vcomsc"
1;6,6;13,5;0,0198716;0,0168448
2;8,3;15,6;0,0367916;0,0316216
3;9,8;19,4;0,065424;0,05781
4;10,6;19,1;0,0742224;0,0624066
5;10,7;19,2;0,0669468;0,0585808
6;10,7;20,3;0,0730662;0,0633748
7;11,7;21,7;0,1098296;0,0957954
8;12,3;22,1;0,1261386;0,1078838
9;13,3;22,2;0,1197184;0,1069156
10;13,4;23,2;0,1534832;0,132963
11;14,4;23,9;0,1713714;0,1511332
12;14,9;24,6;0,1969488;0,1719636
13;15,2;24,5;0,1736932;0,1523364
14;15,5;23;0,1944954;0,1700742
15;16;24,1;0,1924462;0,1658724
16;16,1;24,9;0,2334866;0,2054182
17;16,6;23,9;0,2357802;0,2001354
18;16,9;25;0,2522208;0,2221032
19;17,2;24,5;0,24299;0,2155232
20;17,8;23,4;0,2528506;0,2208624
21;17,8;25,2;0,2746022;0,2405366
22;18,3;27,8;0,3049078;0,26273
23;18,7;24;0,2971058;0,2635196
24;18,7;26,3;0,3304006;0,2918136
25;19,2;22,4;0,2954608;0,2578514
26;19,6;24,9;0,315088;0,270767
27;20,2;25,3;0,3390016;0,2981868
28;20,7;24,1;0,3282762;0,2875648
29;21,2;24,5;0,3801172;0,3341418
30;21,2;27,1;0,3911152;0,3457696
31;21,3;24,2;0,327261;0,2865872
32;21,4;27,2;0,3879286;0,3378454
33;22;29,9;0,4648206;0,410451
34;22,4;25,4;0,4403054;0,3867066
35;22,5;25,4;0,4262054;0,3724844
36;22,7;25,4;0,4205278;0,364297
37;23,2;26,8;0,481139;0,410827
