"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;40;93,1;1;4,59;1;400;1125;6,38;0;0;20,38;17,47;32,62;128,74;115,32;130,2;149,7
1;40;93,1;1;4,59;2;400;1100;2,27;2,27;0;22;18;35,47;142,08;122,15;141,56;162,76
1;40;93,1;1;4,59;3;400;1000;9,09;0;0;21,75;17,48;35,44;144,03;123;141,43;162,61
1;40;93,1;1;4,59;4;400;1025;15,22;0;0;22,9;17,67;36,98;149,65;130,51;147,61;169,71
1;40;93,1;1;4,59;5;400;1075;2,27;0;0;23,18;19,38;40,59;165,26;145,87;162;186,26
1;40;93,1;1;4,59;6;400;1125;2,22;2,22;0;21,77;17,18;33,64;133,39;115,83;134,25;154,35
1;3;97,81;2;4,57;7;400;1100;15,22;0;0;23,3;18,38;39,04;156,56;135,37;155,26;178,51
1;3;97,81;2;4,57;8;400;975;16,67;0;0;22,45;17,86;36,77;149,14;129,65;146,25;168,14
1;3;97,81;2;4,57;9;400;1075;4,65;0;0;21,27;19,23;37,76;152,64;131,49;150,14;172,63
1;3;97,81;2;4,57;12;400;1175;2,27;0;0;21,5;20,82;41,21;167,89;142,95;163,87;188,4
1;9;76,48;3;4,56;13;400;725;32,56;0;3,45;20,98;13,82;26,67;107,54;93,21;105,66;121,48
1;9;76,48;3;4,56;14;400;925;7,5;0;0;21,42;16,05;31,8;126,45;110,67;126,01;144,88
1;9;76,48;3;4,56;15;400;1075;4,65;4,65;0;21,15;16,84;33,15;129,72;114,56;131,35;151,02
1;9;76,48;3;4,56;16;400;850;20,93;0;0;21,13;14,89;28,84;116,47;101,16;114,27;131,38
1;39;82,41;3;4,59;18;400;1225;8,16;0;0;20,27;16,74;30,97;118,48;107,92;123,59;142,1
1;39;82,41;3;4,59;19;400;1050;4,65;0;0;21,4;17,25;33,89;135,58;117,79;135,24;155,49
1;39;82,41;3;4,59;20;400;1150;0;0;0;22,67;20,66;43,29;177,59;151,84;172,76;198,62
1;39;82,41;3;4,59;21;400;1075;4,55;0;0;20,88;16,61;32,08;126,94;111,82;128,04;147,21
1;39;82,41;3;4,59;23;400;1200;2,13;0;0;19,45;16,28;28,82;110,25;101,51;115,01;132,23
1;8;69,35;4;4,56;25;400;1175;2,17;0;0;20,75;18,43;35,03;137,21;122,96;138,82;159,6
1;8;69,35;4;4,56;27;400;1025;4,65;0;0;20,73;17,18;32,82;130,5;115;130,07;149,54
1;4;96,36;4;4,57;30;400;1100;6,38;0;0;22,33;16,55;33,92;133,85;116,4;134,81;155
1;4;96,36;4;4,57;31;400;1000;17,78;0;0;22,17;16,68;33,48;133,67;115,98;133,05;152,97
1;4;96,36;4;4,57;32;400;975;11,63;0;0;24,1;16,39;35,85;143,46;127,54;142,46;163,79
1;4;96,36;4;4,57;34;400;900;20;0;0;22,55;15,57;33,3;135,82;114,04;132,36;152,18
1;4;96,36;4;4,57;35;400;1000;11,11;0;0;22,23;16,99;34,27;138,69;118,5;136,21;156,61
1;10;63,18;4;4,56;36;400;1075;0;0;0;24,23;21,15;47,03;193,01;171,47;186,46;214,38
1;10;63,18;4;4,56;38;400;850;2,86;0;0;22,8;13,83;29,42;118,29;99,87;116,65;134,11
1;10;63,18;4;4,56;39;400;1025;7,14;0;0;21,95;14,81;28,88;111,2;100,17;114,49;131,63
1;35;144,76;5;4,53;40;400;1100;4,35;0;0;24,82;20,08;45,22;183,09;160,95;178,23;204,92
1;35;144,76;5;4,53;41;400;1025;4,65;0;0;22,73;17,47;36,21;146,29;124,31;142,69;164,06
1;35;144,76;5;4,53;43;400;1025;8,89;0;0;25,9;17,07;41,62;166,36;149,12;164,03;188,59
1;35;144,76;5;4,53;45;400;1175;0;0;2,13;23,95;17,06;37,64;147,99;125,75;148,31;170,53
1;35;144,76;5;4,53;46;400;1275;1,92;3,85;0;22,93;19,44;40,17;156,8;136,44;158,31;182,02
1;35;144,76;5;4,53;47;400;1150;2,13;0;0;24,07;20;43,04;172,87;149,43;169,6;195
1;35;144,76;5;4,53;48;400;1125;0;0;0;22,25;16,57;33,88;132,05;114,61;133,51;153,5
1;7;56,34;6;4,56;51;400;1025;2,44;0;0;21,93;15,12;29,73;116,25;101,98;117,8;135,43
1;7;56,34;6;4,56;52;400;1000;13,33;0;0;22,38;18,2;37,51;152,18;131,17;148,64;170,9
1;7;56,34;6;4,56;54;400;1025;9,09;0;0;22,33;18,6;39,54;161,84;134,99;156,67;180,13
1;2;101,05;6;4,57;55;400;1125;0;0;0;21,42;16,77;32,52;127,09;113,06;129,42;148,8
1;2;101,05;6;4,57;59;400;1050;2,33;0;0;21,55;16,58;32,06;127,31;111,75;127,59;146,69
1;2;101,05;6;4,57;60;400;1000;6,98;0;0;21,58;16,52;32,85;132,07;113,5;130,73;150,31
1;41;78,71;6;4,59;63;400;1200;0;0;0;22,52;19,25;38,98;156,63;135,2;155,65;178,95
1;41;78,71;6;4,59;64;400;1175;4,08;0;0;23,6;20,03;42,24;171,23;148,32;168,67;193,92
1;41;78,71;6;4,59;65;400;1100;6,38;0;0;21,98;16,91;34;134,48;117,48;135,78;156,11
1;21;89,01;6;5,63;66;400;1000;0;0;0;28,03;21,16;46,32;237,97;209,24;228,34;260,98
1;21;89,01;6;5,63;67;400;975;2,5;5;0;27,32;20,52;43,26;222,66;194,79;213,28;243,76
1;21;89,01;6;5,63;68;400;1050;8,89;0;0;26,1;19,72;39,75;201,72;180,49;195,98;223,99
