"talhao";"area";"idade";"parcela";"areaparc";"fuste";"categoria";"cap";"ht"
1;12,09;6,3;1;500;1;"Normal";66,51;25,5
1;12,09;6,3;1;500;2;"Normal";57,71;25,5
1;12,09;6,3;1;500;3;"Dominante";67,29;26,5
1;12,09;6,3;1;500;4;"Dominante";70,09;26,8
1;12,09;6,3;1;500;5;"Normal";56,49;NA
1;12,09;6,3;1;500;6;"Normal";61,39;NA
1;12,09;6,3;1;500;7;"Normal";62,39;NA
1;12,09;6,3;1;500;8;"Normal";55,1;NA
1;12,09;6,3;1;500;9;"Normal";57,59;NA
1;12,09;6,3;1;500;10;"Normal";58,21;NA
1;12,09;6,3;1;500;11;"Normal";45,11;NA
1;12,09;6,3;1;500;12;"Normal";57,3;24,5
1;12,09;6,3;1;500;13;"Normal";66,7;NA
1;12,09;6,3;1;500;14;"Normal";62,8;NA
1;12,09;6,3;1;500;15;"Normal";59,41;NA
1;12,09;6,3;1;500;16;"Normal";53,6;NA
1;12,09;6,3;1;500;17;"Normal";58,59;NA
1;12,09;6,3;1;500;18;"Normal";64,91;NA
1;12,09;6,3;1;500;19;"Normal";59,5;NA
1;12,09;6,3;1;500;20;"Normal";65,5;NA
1;12,09;6,3;1;500;21;"Normal";59,78;NA
1;12,09;6,3;1;500;22;"Normal";63,9;NA
1;12,09;6,3;1;500;23;"Normal";63,49;26,2
1;12,09;6,3;1;500;24;"Normal";56,3;NA
1;12,09;6,3;1;500;25;"Normal";66,51;NA
1;12,09;6,3;1;500;26;"Normal";49,2;NA
1;12,09;6,3;1;500;27;"Normal";65,31;NA
1;12,09;6,3;1;500;28;"Normal";55,39;NA
1;12,09;6,3;1;500;29;"Normal";59,78;NA
1;12,09;6,3;1;500;30;"Normal";51,99;NA
1;12,09;6,3;1;500;31;"Normal";59,78;NA
1;12,09;6,3;1;500;32;"Normal";57,21;NA
1;12,09;6,3;1;500;33;"Falha";0;NA
1;12,09;6,3;1;500;34;"Normal";47,09;23,8
1;12,09;6,3;1;500;35;"Normal";59,78;NA
1;12,09;6,3;1;500;36;"Normal";59,09;NA
1;12,09;6,3;1;500;37;"Normal";62,89;NA
1;12,09;6,3;1;500;38;"Normal";61,29;NA
1;12,09;6,3;1;500;39;"Normal";62,99;NA
1;12,09;6,3;1;500;40;"Normal";62,02;NA
1;12,09;6,3;1;500;41;"Normal";52,5;NA
1;12,09;6,3;1;500;42;"Normal";52,81;NA
1;12,09;6,3;1;500;43;"Normal";61,39;NA
1;12,09;6,3;1;500;44;"Bifurcada Abaixo";55,7;NA
1;12,09;6,3;1;500;45;"Bifurcada Abaixo";25,1;NA
