"parcela";"vcomcc1";"vcomcc2"
1;9,38;7,85
2;9,16;7,24
3;6,21;5,15
4;5,53;4,58
5;6,38;4,8
6;8,18;6,92
7;4,21;3,55
8;7,54;6,07
9;5,94;4,58
10;6,36;5,26
11;6,32;5,04
12;8,47;6,78
13;6,6;5,48
14;6,14;5,08
15;4,95;4,06
16;5,62;4,75
17;7,86;5,97
18;5,39;4,42
19;7,64;6,45
20;8,23;6,18
21;7,1;6,01
22;6,22;4,75
23;6,05;4,9
24;8,11;6,56
25;6,78;5,73
26;8,68;6,86
27;7,2;5,46
28;9,18;7,44
29;7,84;6,22
30;4,73;3,88
31;10,04;8
32;5,41;4,38
33;6,68;5,02
34;5,78;4,66
35;5,33;4,19
36;8,06;6,59
37;6,88;5,41
38;6,18;4,84
39;6,29;5,29
40;7,26;5,85
