fazenda;talhao;area;espacamento;matgen;clid;idade;parcela;areaparc;percfalhas;percmortas;percquebradas;hdom;nfustes;areabasal;vcomcc;vcomsc;vcomcc7;vtsc;vtcc
1;1;100,32;300300;12;5;4,58;322;400;2,22;0;0;20,35;44;0,7;5,21;4,65;8,84;5,24;6,02
1;1;100,32;300300;12;5;4,58;323;400;5,77;0;0;21,38;49;0,71;5,23;4,61;8,91;5,31;6,1
1;1;100,32;300300;12;5;4,58;324;400;2,22;0;0;21,07;44;0,66;4,92;4,38;8,56;5,01;5,76
1;1;100,32;300300;12;5;4,58;325;400;2,27;0;0;21,58;43;0,71;5,66;4,88;9,33;5,61;6,45
1;1;100,32;300300;12;5;4,58;326;400;6,52;0;0;20,73;43;0,7;5,41;4,69;9,12;5,4;6,21
1;1;100,32;300300;12;5;4,58;327;400;4,76;0;0;21,3;40;0,65;5,07;4,47;8,65;5,07;5,83
1;1;100,32;300300;12;5;4,58;328;400;9,76;0;0;21,49;37;0,61;4,5;3,98;7,78;4,51;5,18
1;2;101,05;300300;6;5;4,57;55;400;0;0;0;21,42;45;0,67;5,08;4,52;8,05;5,18;5,95
1;2;101,05;300300;6;5;4,57;56;400;0;0;0;22,33;45;0,7;5,83;4,99;8,89;5,83;6,7
1;2;101,05;300300;6;5;4,57;57;400;6,67;0;0;20,75;43;0,66;4,86;4,3;7,69;4,94;5,68
1;2;101,05;300300;6;5;4,57;58;400;2,22;0;0;22,17;44;0,66;5,32;4,61;8,3;5,34;6,14
1;2;101,05;300300;6;5;4,57;59;400;2,33;0;0;21,55;42;0,66;5,09;4,47;7,92;5,1;5,87
1;2;101,05;300300;6;5;4,57;60;400;6,98;0;0;21,58;40;0,66;5,28;4,54;8,09;5,23;6,01
1;3;97,81;300300;2;5;4,57;7;400;15,22;0;0;23,3;44;0,74;6,26;5,41;10,34;6,21;7,14
1;3;97,81;300300;2;5;4,57;8;400;16,67;0;0;22,45;39;0,71;5,97;5,19;9,72;5,85;6,73
1;3;97,81;300300;2;5;4,57;9;400;4,65;0;0;21,27;43;0,77;6,11;5,26;9,81;6,01;6,91
1;3;97,81;300300;2;5;4,57;10;400;8,89;0;0;23,5;44;0,71;6,1;5,29;10,14;6,04;6,95
1;3;97,81;300300;2;5;4,57;11;400;4,88;0;0;22,23;42;0,74;6,06;5,15;9,89;5,98;6,87
1;3;97,81;300300;2;5;4,57;12;400;2,27;0;0;21,5;47;0,83;6,72;5,72;10,49;6,55;7,54
1;4;96,36;300300;4;5;4,57;29;400;4,65;0;0;24,13;42;0,73;6,59;5,77;10,66;6,45;7,41
1;4;96,36;300300;4;5;4,57;30;400;6,38;0;0;22,33;44;0,66;5,35;4,66;9,25;5,39;6,2
1;4;96,36;300300;4;5;4,57;31;400;17,78;0;0;22,17;40;0,67;5,35;4,64;9,06;5,32;6,12
1;4;96,36;300300;4;5;4,57;32;400;11,63;0;0;24,1;39;0,66;5,74;5,1;9,7;5,7;6,55
1;4;96,36;300300;4;5;4,57;33;400;9,09;0;0;25,55;41;0,75;7,21;6,41;11,54;7;8,05
1;4;96,36;300300;4;5;4,57;34;400;20;0;0;22,55;36;0,62;5,43;4,56;9,11;5,29;6,09
1;4;96,36;300300;4;5;4,57;35;400;11,11;0;0;22,23;40;0,68;5,55;4,74;9,22;5,45;6,26
1;5;52,07;300300;7;5;4,57;197;400;5,56;0;0;21,7;34;0,6;4,94;4,16;8,31;4,81;5,54
1;5;52,07;300300;7;5;4,57;198;400;5;0;0;24,05;38;0,84;7,83;6,86;11,76;7,44;8,55
1;5;52,07;300300;7;5;4,57;199;400;5,56;0;0;21,98;35;0,7;6,04;5,02;9,6;5,76;6,62
1;6;24,62;300300;6;5;4,57;49;400;2,27;2,27;0;21,93;43;0,62;4,74;4,2;7,7;4,85;5,58
1;6;24,62;300300;6;5;4,57;50;400;7,32;2,44;0;22,1;38;0,63;5,02;4,34;7,81;5;5,74
1;7;56,34;300300;6;5;4,56;51;400;2,44;0;0;21,93;41;0,6;4,65;4,08;7,54;4,71;5,42
1;7;56,34;300300;6;5;4,56;52;400;13,33;0;0;22,38;40;0,73;6,09;5,25;8,89;5,95;6,84
1;7;56,34;300300;6;5;4,56;53;400;14,63;0;0;21,88;36;0,56;4,26;3,72;6,99;4,31;4,95
1;7;56,34;300300;6;5;4,56;54;400;9,09;0;0;22,33;41;0,74;6,47;5,4;9,32;6,27;7,21
1;8;69,35;300300;4;5;4,56;24;400;7,14;0;0;21,25;41;0,66;5,08;4,46;8,7;5,08;5,84
1;8;69,35;300300;4;5;4,56;25;400;2,17;0;0;20,75;47;0,74;5,49;4,92;9,31;5,55;6,38
1;8;69,35;300300;4;5;4,56;26;400;0;0;0;21,3;39;0,58;4,42;3,9;7,95;4,49;5,16
1;8;69,35;300300;4;5;4,56;27;400;4,65;0;0;20,73;41;0,69;5,22;4,6;8,83;5,2;5,98
1;8;69,35;300300;4;5;4,56;28;400;18,75;2,08;0;21,2;40;0,62;4,71;4,18;8,29;4,77;5,49
1;9;76,48;300300;3;5;4,56;13;400;32,56;0;3,45;20,98;29;0,55;4,3;3,73;7,47;4,23;4,86
1;9;76,48;300300;3;5;4,56;14;400;7,5;0;0;21,42;37;0,64;5,06;4,43;8,61;5,04;5,8
