populacao	parcela	arvore	fuste	cap	altura		obs
2	4	1	1	43,6			
2	4	1	2	76	27,2		
2	4	1	3	33			
2	4	2		24,8			
2	4	3		65,8	27,1		
2	4	4		45,4			
2	4	5		32,8	16,2		
2	4	6		69			
2	4	7	1	64,6			
2	4	7	2	24			
2	4	8		15,3			
2	4	9		25,4	10,6		
2	4	10	1	45,7			
2	4	10	2	62,8			
2	4	11		57,9	27,2		
2	4	12	1	23,5			
2	4	12	2	26,9			
2	4	13	1	25,2			
2	4	13	2	19,2			
2	4	14	1	26,2			
2	4	14	2	36,2			
2	4	15	1	72,6			
2	4	15	2	41,6			
2	4	15	3	32,1			
2	4	16		29	14,5		
2	4	17		26,6			
2	4	18	1	46,6			
2	4	18	2	47,4			
2	4	18	3	40,3			
2	4	19		28,3			
2	4	20		15,4			
2	4	21	1	33,4	16,1		
2	4	21	2	26,5			
2	4	21	3	35,1			
2	4	22	1	32			
2	4	22	2	60,2			
2	4	23		25,6	12,6		
2	4	24	1	44			
2	4	24	2	61			
2	4	24	3	79			
2	4	25		63			
2	4	26	1	72,6			
2	4	26	2	32,6			
2	4	27		39,6	16		
2	4	28		18,7			
2	4	29	1	61,6	25,3		
2	4	29	2	38,3			
2	4	29	3	70			
2	4	30		17,4			
2	4	31	1	54			
2	4	31	2	52,6			
2	4	32	1	35,8			
2	4	32	2	49,3			
2	4	33		31,6			
2	4	34	1	71,7	28,3		
2	4	34	2	40,9			
2	4	35		24,3	12,6		
2	4	36		41,4			
2	4	37	1	55,7			
2	4	37	2	39,6			
2	4	37	3	66,7			
2	1	1	1	62,2			
2	1	1	2	59	24		
2	1	2	1	65,3			
2	1	2	2	59			
2	1	2	3	53,7			
2	1	3		53,6			
2	1	4		26	10		
2	1	5	1	52,8			
2	1	5	2	47,7			
2	1	6					Morta
2	1	7		65,3			
2	1	8		21,3			
2	1	9		48,6			
2	1	10		45,6			
2	1	11	1	46,6			
2	1	11	2	44,4			
2	1	12		86,6	27,4		
2	1	13		37,2			
2	1	14		76			
2	1	15	1	26,6			
2	1	15	2	52	15,7		
2	1	16		77,7			
2	1	17		56,2			
2	1	18		73	25		
2	1	19		72			
2	1	20	1	71,8	25,3		
2	1	20	2	32			
2	1	21		47,3	17,5		
2	1	22					Morta
2	1	23					Morta
