POPULAÇÃO;PARCELA;ÁRVORE;FUSTE;CAP;ALTURA;ESP. CASCA;OBS
1;55;1;;88,5;40,5;;
1;55;2;;69,5;39,5;;
1;55;3;;;;;m
1;55;4;;;;;m
1;55;5;;54,5;;;seca ponteira
1;55;6;;36,3;;;seca de ponteira
1;55;7;;86,2;;;
1;55;8;;82,5;40;;
1;55;9;;;;;morta
1;55;10;;89,1;;;
1;55;11;;;;;morta
1;55;12;;20,8;;;sem ponteira
1;55;13;;65,6;;;
1;55;14;;35,3;;;
1;55;15;;33;38;;seca de ponteira
1;55;16;;;;;morta
1;55;17;;83,7;26;;
1;55;18;;30;;;seca de ponteira
1;55;19;;58;;;
1;55;20;;55,5;32;;
1;55;21;;38,3;;;
1;55;22;;78,6;40;;
1;55;23;;52,5;;;
1;55;24;;72,5;36;;
1;55;25;;22,5;;;seca de ponteira
1;55;26;;;;;morta
1;55;27;;72,8;33,5;;
1;55;28;;24;;;seca de ponteira
1;55;29;;57,5;;;
1;55;30;;49,9;;;bifurcada acima do DAP
1;55;31;;22,2;;;seca de ponteira
1;55;32;;19,1;;;seca de ponteira
1;55;33;;59;31;;
1;55;34;;;;;morta
1;55;35;;57,9;30;;
1;55;36;;64,3;34;;
1;55;37;;36,2;;;seca de ponteira
1;55;38;;30;;;seca de ponteira
1;55;39;;71,2;33;;
1;55;40;;24,2;;;seca de ponteira
1;55;41;;;;;morta
1;45;1;;94;37;;
1;45;2;;;;;morta
1;45;3;;59;;;sem ponteira
1;45;4;;;;;morta
1;45;5;;;;;morta
1;45;6;;;;;morta
1;45;7;;;;;morta
1;45;8;;;;;morta
1;45;9;;75,1;;;
1;45;10;;98,4;37,8;;
1;45;11;;59,6;;;
1;45;12;;37,2;;;
1;45;13;;49,4;;;
1;45;14;;31,8;;;
1;45;15;;95,6;34,3;;
1;45;16;;;;;morta
1;45;17;;97;;;
1;45;18;;81,5;29;;
1;45;19;;47,6;21;;
1;45;20;;87,6;33,5;;
1;45;21;;52,2;;;
1;45;22;;;;;morta
1;45;23;;80;;;
1;45;24;;74,5;;;
1;45;25;;56,3;24,5;;
1;45;26;;59;28,5;;
1;45;27;;41,4;;;
1;45;28;;33,4;;;
1;45;29;;79,8;29,1;;
1;45;30;;39,7;17,2;;
1;45;31;;;;;morta
1;45;32;;84;;;
1;45;33;;71,2;;;
1;45;34;;90,6;35,8;;
1;52;1;;43,6;19,4;;
1;52;2;;;;;morta
1;52;3;;65,7;;;
1;52;4;;107,3;42,1;;
1;52;5;;57;;;
1;52;6;;78;31,6;;
1;52;7;;;;;morta
1;52;8;;55,3;;;
1;52;9;;54;;;
1;52;10;;;;;morta/quebrada
1;52;11;;67;;;torta
1;52;12;;68,5;35,1;;
1;52;13;;53;;;
1;52;14;;79;36;;
1;52;15;;54,7;;;
1;52;16;;;;;morta/quebrada
1;52;17;;51,2;;;
1;52;18;;;;;morta/quebrada
1;52;19;;55,6;;;
1;52;20;;;;;morta/quebrada
1;52;21;;53,4;35,4;;
1;52;22;;51,9;;;
1;52;23;;106;44,6;;
1;52;24;;33,9;;;
1;52;25;;48,6;;;
1;52;26;;44,5;27,1;;
1;52;27;;94,5;42,1;;
1;52;28;;41;;;
1;52;29;;84,8;39,6;;
1;52;30;;69,2;;;
1;52;31;;88;;;
1;52;32;;64,6;;;
1;52;33;;42;;;
1;52;34;;80,5;;;
1;52;35;;57,7;36,6;;
1;52;36;;44;;;
1;66;1;;63;40,3;;
1;66;2;;35,1;;;
1;66;3;;79,2;40,5;;
1;66;4;;56,8;34,7;;
1;66;5;;45,5;;;
1;66;6;;34,7;;;
1;66;7;;43;;;
1;66;8;;51,7;;;
1;66;9;;37,5;;;
1;66;10;;35;;;
1;66;11;;60;31,6;;
1;66;12;;55;;;
1;66;13;;84;33,1;;
1;66;14;;78,5;39,1;;
1;66;15;;77;37,5;;
1;66;16;;40;;;
1;66;17;;31,5;;;
1;66;18;;99,8;40,8;;
1;66;19;;53,6;;;
1;66;20;;69;;;
1;66;21;;;;;morta
1;66;22;;81,6;34,2;;
1;66;23;;36;;;
1;66;24;;20;;;
1;66;25;;66,6;;;
1;66;26;;66,7;;;
1;66;27;;71;35,1;;
1;66;28;;49,5;;;
1;66;29;;32;;;
1;66;30;;76,2;36,6;;
1;66;31;;68,3;27,9;;
1;66;32;;65,5;29,5;;
1;66;33;;69,5;;;
1;66;34;;61,2;;;
1;66;35;;39;;;
1;66;36;;69,8;;;
1;66;37;;30,5;;;
1;66;38;;66;;;
1;66;39;;39;;;
1;66;40;;47,1;;;
1;66;41;;75,4;;;
1;20;1;;79,5;38,8;;
1;20;2;;;;;Morreu
1;20;3;;73,8;35,8;;
1;20;4;;73,9;37,2;;
1;20;5;;92,5;40,7;;
1;20;6;;;;;Morreu
1;20;7;1;88,1;39,1;;Bifurcada abaixo
1;20;7;2;60;;;Bifurcada abaixo
1;20;8;;49;;;
1;20;9;;52,9;30,8;;
1;20;10;;74,1;36,1;;
1;20;11;;77;;;
1;20;12;;43,6;;;
1;20;13;;;;;Morreu
1;20;14;;;;;Morreu
1;20;15;;46,9;24,1;;
1;20;16;;;;;Morreu
1;20;17;;;;;Morreu
1;20;18;;64,4;33,1;;
1;20;19;;56,5;;;
1;20;20;;74,9;36,5;;
1;20;21;;60,2;;;
1;20;22;;49,9;;;
1;20;23;;73,2;36,4;;
1;20;24;;79;;;
1;20;25;;;;;Morreu
1;20;26;;43,8;;;
1;20;27;;45,6;;;
1;20;28;;99,8;;;
1;20;29;;67;;;
1;20;30;;57,6;;;
1;20;31;;51,5;;;
1;20;32;;46,5;;;
1;20;33;;;;;Morreu
1;20;34;;49,9;;;
1;20;35;;62;;;
1;44;1;;;;;Morreu
1;44;2;;65;28,5;;
1;44;3;;92;34,6;;
1;44;4;;;;;Morreu
1;44;5;;97,6;34,6;;
1;44;6;;;;;Morreu
1;44;7;;;;;Morreu
1;44;8;;92;32,5;;
1;44;9;;85,5;30,8;;
1;44;10;;;;;Morreu
1;44;11;;67,8;30;;
1;44;12;;;;;Morreu
1;44;13;;;;;Morreu
1;44;14;;;;;Morreu
1;44;15;;76,2;29,5;;
1;44;16;;;;;Morreu
1;44;17;;;;;Morreu
1;44;18;;65,4;;;
1;44;19;;66;;;
1;44;20;;64,8;29,9;;
1;44;21;;64,7;24,8;;
1;44;22;;83,6;;;
1;44;23;;;;;Morreu
1;44;24;;60,5;22;;
1;44;25;;;;;Morreu
1;44;26;;81,3;33,6;;
1;44;27;;74,5;;;
1;44;28;;66,3;;;
1;44;29;;;;;Morreu
1;44;30;;;;;Morreu
1;44;31;;55,2;;;
1;44;32;;68,5;;;
1;44;33;;;;;Morreu
1;44;34;;;;;Morreu
1;54;1;;;;;Morreu
1;54;2;;;;;Morreu
1;54;3;;40,6;;;
1;54;4;;70,9;;;
1;54;5;;25,6;8,3;;
1;54;6;;36,2;;;
1;54;7;;71,1;;;
1;54;8;;56,1;28;;
1;54;9;;69,6;;;
1;54;10;;81,6;;;
1;54;11;;;;;Morreu
1;54;12;;75,6;;;
1;54;13;;26,8;;;
1;54;14;;85,6;;;
1;54;15;;70,6;30;;
1;54;16;;74;31,5;;
1;54;17;;76,3;30;;
1;54;18;;56;25;;
1;54;19;;61,6;;;
1;54;20;;62,3;;;
1;54;21;;64,6;;;
1;54;22;;62,8;;;
1;54;23;;84,9;;;
1;54;24;;56;;;
1;54;25;;33,4;11;;
1;54;26;;57,6;21;;
1;54;27;;23;;;
1;54;28;;69,7;;;
1;54;29;;78;;;
1;54;30;;21;;;
1;54;31;;22,8;7;;
1;54;32;;76,7;33;;
1;54;33;;42,4;;;
1;54;34;;37;18;;
1;54;35;;48;;;
1;54;36;;84,7;;;
1;54;37;;93,4;;;
1;54;38;;29,8;16;;
1;54;39;;87,6;44;;
1;54;40;;87,7;;;
1;54;41;;59,8;;;
1;58;1;;25,8;;;
1;58;2;;82,6;30;;
1;58;3;;33;19;;
1;58;4;;77,6;;;
1;58;5;;71;;;
1;58;6;;27,3;;;
1;58;7;;39,1;;;
1;58;8;;23,4;;;
1;58;9;;30;;;
1;58;10;;77,9;;;
1;58;11;;46,9;27;;
1;58;12;;66,6;27,5;;
1;58;13;;77,4;;;
1;58;14;;84,6;;;
1;58;15;;83,8;;;
1;58;16;;71;;;
1;58;17;;21;;;
1;58;18;;;;;Morreu
1;58;19;;82,4;;;
1;58;20;1;38,9;;;Bifurcada abaixo
1;58;20;2;68;;;Bifurcada abaixo
1;58;21;;71,1;;;
1;58;22;;38;;;
1;58;23;;71,8;28;;
1;58;24;;30,4;29;;
1;58;25;;31,1;;;
1;58;26;;31,3;35;;
1;58;27;;79,9;;;
1;58;28;;29,7;14,5;;
1;58;29;;80;33;;
1;58;30;;42,6;26;;
1;58;31;;78,2;35,5;;
1;58;32;;64,8;;;
1;58;33;;78,6;;;
1;58;34;;79;30;;
1;58;35;;78,9;;;
1;58;36;;39;;;
1;58;37;;26,6;;;
1;58;38;;83,6;34,8;;
1;58;39;;80;30;;
1;58;40;;84,3;;;
1;58;41;;20,1;;;
1;58;42;;45,9;;;
1;58;43;;30,6;;;
1;58;44;;54,2;;;
1;47;1;;80,6;37,6;;
1;47;2;;74,7;;;
1;47;3;;96,7;36,5;;
1;47;4;;58,8;28,7;;
1;47;5;;63,6;28,4;;
1;47;6;;49,6;;;
1;47;7;;23;;;
1;47;8;;20,8;;;
1;47;9;;56,2;;;
1;47;10;;70,6;14,7;;
1;47;11;;;;;Morreu
1;47;12;;75;31,3;;
1;47;13;;50,6;;;
1;47;14;;31,8;;;
1;47;15;;34,2;;;
1;47;16;;96,6;;;
1;47;17;;43,6;;;
1;47;18;;47,7;22,6;;
1;47;19;;56,8;;;
1;47;20;;58,7;25,2;;
1;47;21;;76,6;;;
1;47;22;;55,2;;;
1;47;23;;22,3;;;
1;47;24;;21;;;
1;47;25;;82;38,2;;
1;47;26;;81;;;
1;47;27;;76,6;;;
1;47;28;;40,4;;;
1;47;29;;38,1;;;
1;47;30;;44,2;19,2;;
1;47;31;;35,3;;;
1;47;32;;62,3;33,7;;
1;47;33;;70,7;;;
1;47;34;;62,8;;;
1;47;35;;37,3;;;
1;47;36;;30;;;
1;47;37;;31;;;
1;47;38;;41,3;;;
1;47;39;;24,2;13,3;;
1;47;40;;13,7;;;
1;47;41;;84,1;33,9;;
1;47;42;;79;;;
1;47;43;;32,3;38,3;;
1;47;44;;81,1;;;
1;47;45;;26,8;;;
1;47;46;;63;;;
2;4;1;1;43,6;;;
2;4;1;2;76;27,2;;
2;4;1;3;33;;;
2;4;2;;24,8;;;
2;4;3;;65,8;27,1;;
2;4;4;;45,4;;;
2;4;5;;32,8;16,2;;
2;4;6;;69;;;
2;4;7;1;64,6;;;
2;4;7;2;24;;;
2;4;8;;15,3;;;
2;4;9;;25,4;10,6;;
2;4;10;1;45,7;;;
2;4;10;2;62,8;;;
2;4;11;;57,9;27,2;;
2;4;12;1;23,5;;;
2;4;12;2;26,9;;;
2;4;13;1;25,2;;;
2;4;13;2;19,2;;;
2;4;14;1;26,2;;;
2;4;14;2;36,2;;;
2;4;15;1;72,6;;;
2;4;15;2;41,6;;;
2;4;15;3;32,1;;;
2;4;16;;29;14,5;;
2;4;17;;26,6;;;
2;4;18;1;46,6;;;
2;4;18;2;47,4;;;
2;4;18;3;40,3;;;
2;4;19;;28,3;;;
2;4;20;;15,4;;;
2;4;21;1;33,4;16,1;;
2;4;21;2;26,5;;;
2;4;21;3;35,1;;;
2;4;22;1;32;;;
2;4;22;2;60,2;;;
2;4;23;;25,6;12,6;;
2;4;24;1;44;;;
2;4;24;2;61;;;
2;4;24;3;79;;;
2;4;25;;63;;;
2;4;26;1;72,6;;;
2;4;26;2;32,6;;;
2;4;27;;39,6;16;;
2;4;28;;18,7;;;
2;4;29;1;61,6;25,3;;
2;4;29;2;38,3;;;
2;4;29;3;70;;;
2;4;30;;17,4;;;
2;4;31;1;54;;;
2;4;31;2;52,6;;;
2;4;32;1;35,8;;;
2;4;32;2;49,3;;;
2;4;33;;31,6;;;
2;4;34;1;71,7;28,3;;
2;4;34;2;40,9;;;
2;4;35;;24,3;12,6;;
2;4;36;;41,4;;;
2;4;37;1;55,7;;;
2;4;37;2;39,6;;;
2;4;37;3;66,7;;;
2;1;1;1;62,2;;;
2;1;1;2;59;24;;
2;1;2;1;65,3;;;
2;1;2;2;59;;;
2;1;2;3;53,7;;;
2;1;3;;53,6;;;
2;1;4;;26;10;;
2;1;5;1;52,8;;;
2;1;5;2;47,7;;;
2;1;6;;;;;Morta
2;1;7;;65,3;;;
2;1;8;;21,3;;;
2;1;9;;48,6;;;
2;1;10;;45,6;;;
2;1;11;1;46,6;;;
2;1;11;2;44,4;;;
2;1;12;;86,6;27,4;;
2;1;13;;37,2;;;
2;1;14;;76;;;
2;1;15;1;26,6;;;
2;1;15;2;52;15,7;;
2;1;16;;77,7;;;
2;1;17;;56,2;;;
2;1;18;;73;25;;
2;1;19;;72;;;
2;1;20;1;71,8;25,3;;
2;1;20;2;32;;;
2;1;21;;47,3;17,5;;
2;1;22;;;;;Morta
2;1;23;;;;;Morta
