"matgen";"arv";"dap";"ht";"hi";"dicc1";"dicc2";"espcasca"
26;1;8,44;19,6;0,1;11,1;11,1;0,667
26;1;8,44;19,6;0,15;10,2;10,2;0,408
26;1;8,44;19,6;0,7;8,6;8,6;0,26500002
26;1;8,44;19,6;1,3;8,4;8,4;0,348
26;1;8,44;19,6;2,5;8,2;8,2;0,258
26;1;8,44;19,6;3,7;7,9;7,9;0,39000002
26;1;8,44;19,6;4,9;7,6;7,6;0,205
26;1;8,44;19,6;6,1;7,3;7,3;0,183
26;1;8,44;19,6;7,3;7,1;7,1;0,23200001
26;1;8,44;19,6;8,5;7;7;0,23200001
26;1;8,44;19,6;9,7;6,1;6,1;0,147
26;1;8,44;19,6;10,9;5,6;5,6;0,17
26;1;8,44;19,6;12,1;5,1;5,1;0,157
26;1;8,44;19,6;13,3;4,8;4,8;0,157
26;1;8,44;19,6;14,5;4,2;4,2;0,147
26;1;8,44;19,6;15,7;3,7;3,7;0,127
26;1;8,44;19,6;16,9;3;3;0,129
26;1;8,44;19,6;18,1;2,5;2,5;0,129
26;1;8,44;19,6;19,3;1,1;1,1;0,077
26;2;10,92;21,2;0,1;15,4;15,4;0,941
26;2;10,92;21,2;0,15;14,9;14,9;0,738
26;2;10,92;21,2;0,7;11,9;11,9;0,497
26;2;10,92;21,2;1,3;10,9;10,9;0,343
26;2;10,92;21,2;2,5;10,7;10,7;0,339
26;2;10,92;21,2;3,7;10,3;10,3;0,389
26;2;10,92;21,2;4,9;9,9;9,9;0,307
26;2;10,92;21,2;6,1;9,9;9,9;0,208
26;2;10,92;21,2;7,3;9,6;9,6;0,241
26;2;10,92;21,2;8,5;8,8;8,8;0,186
26;2;10,92;21,2;9,7;8,2;8,2;0,19399999
26;2;10,92;21,2;10,9;7,7;7,7;0,178
26;2;10,92;21,2;12,1;7,4;7,4;0,186
26;2;10,92;21,2;13,3;6,5;6,5;0,18
26;2;10,92;21,2;14,5;6,1;6,1;0,15599999
26;2;10,92;21,2;15,7;5,6;5,6;0,19399999
26;2;10,92;21,2;16,9;4,9;4,9;0,186
26;2;10,92;21,2;18,1;4;4;0,185
26;2;10,92;21,2;19,3;3,1;3,1;0,145
26;2;10,92;21,2;20,5;1,4;1,4;0,109
26;2;10,92;21,2;20,8;0,9;0,9;0,047000002
26;3;21,01;28,4;0,1;24,6;24,6;1,2329999
26;3;21,01;28,4;0,15;24,4;24,4;1,26
26;3;21,01;28,4;0,7;21,5;21,5;1,196
26;3;21,01;28,4;1,3;21;21;0,907
26;3;21,01;28,4;2,5;19,3;19,3;0,769
26;3;21,01;28,4;3,7;19;19;0,575
26;3;21,01;28,4;4,9;18,9;18,9;0,544
26;3;21,01;28,4;6,1;18,6;18,6;0,40600002
26;3;21,01;28,4;7,3;18,6;18,6;0,662
26;3;21,01;28,4;8,5;17,7;17,7;0,663
26;3;21,01;28,4;9,7;16,7;16,7;0,363
26;3;21,01;28,4;10,9;15,8;15,8;0,38300002
26;3;21,01;28,4;12,1;15,1;15,1;0,317
26;3;21,01;28,4;13,3;14,5;14,5;0,38799998
26;3;21,01;28,4;14,5;13,6;13,6;0,268
26;3;21,01;28,4;15,7;13,4;13,4;0,31599998
26;3;21,01;28,4;16,9;12,8;12,8;0,336
26;3;21,01;28,4;18,1;12,7;12,7;0,361
26;3;21,01;28,4;19,3;10,6;10,6;0,339
26;3;21,01;28,4;20,5;9,7;9,7;0,31199998
26;3;21,01;28,4;21,7;9,4;9,4;0,31
26;3;21,01;28,4;22,9;6,9;6,9;0,281
26;3;21,01;28,4;24,1;6,1;6,1;0,242
26;3;21,01;28,4;25,3;5,2;5,2;0,24
26;3;21,01;28,4;26,5;3;3;0,16700001
26;3;21,01;28,4;27,7;1,1;1,1;0,104
26;4;19,74;27;0,1;23,9;23,9;1,559
26;4;19,74;27;0,15;23,6;23,6;1,241
26;4;19,74;27;0,7;19,9;19,9;1,072
26;4;19,74;27;1,3;19,7;19,7;0,922
26;4;19,74;27;2,5;18,3;18,3;0,627
26;4;19,74;27;3,7;18;18;0,644
26;4;19,74;27;4,9;17,8;17,8;0,81200004
26;4;19,74;27;6,1;17,5;17,5;0,566
26;4;19,74;27;7,3;17,3;17,3;0,418
26;4;19,74;27;8,5;16,4;16,4;0,378
26;4;19,74;27;9,7;15,2;15,2;0,348
26;4;19,74;27;10,9;14,5;14,5;0,306
26;4;19,74;27;12,1;14,1;14,1;0,345
26;4;19,74;27;13,3;13,3;13,3;0,333
26;4;19,74;27;14,5;12,8;12,8;0,378
26;4;19,74;27;15,7;12,6;12,6;0,38300002
26;4;19,74;27;16,9;12,1;12,1;0,372
26;4;19,74;27;18,1;10,6;10,6;0,321
26;4;19,74;27;19,3;9,5;9,5;0,31599998
26;4;19,74;27;20,5;8,9;8,9;0,327
26;4;19,74;27;21,7;7,3;7,3;0,274
26;4;19,74;27;22,9;5,8;5,8;0,262
26;4;19,74;27;24,1;4,8;4,8;0,264
26;4;19,74;27;25,3;3,2;3,2;0,19999999
26;4;19,74;27;26,5;0,8;0,8;0,094000004
26;5;14,83;24,9;0,1;17,4;17,4;1,1439999
26;5;14,83;24,9;0,15;17;17;1,09
26;5;14,83;24,9;0,7;15,6;15,6;0,805
26;5;14,83;24,9;1,3;14,8;14,8;0,63600004
26;5;14,83;24,9;2,5;14,3;14,3;0,418
26;5;14,83;24,9;3,7;13,9;13,9;0,472
26;5;14,83;24,9;4,9;13,8;13,8;0,424
26;5;14,83;24,9;6,1;13,4;13,4;0,384
26;5;14,83;24,9;7,3;12,3;12,3;0,26900002
26;5;14,83;24,9;8,5;11,8;11,8;0,258
26;5;14,83;24,9;9,7;11,6;11,6;0,259
26;5;14,83;24,9;10,9;11,1;11,1;0,28599998
26;5;14,83;24,9;12,1;10,5;10,5;0,262
26;5;14,83;24,9;13,3;10,2;10,2;0,266
26;5;14,83;24,9;14,5;9,5;9,5;0,274
26;5;14,83;24,9;15,7;8,9;8,9;0,28
26;5;14,83;24,9;16,9;8,2;8,2;0,249
26;5;14,83;24,9;18,1;7,6;7,6;0,285
26;5;14,83;24,9;19,3;6,2;6,2;0,246
26;5;14,83;24,9;20,5;5,5;5,5;0,23799999
26;5;14,83;24,9;21,7;4,4;4,4;0,19999999
26;5;14,83;24,9;22,9;3,7;3,7;0,193
26;5;14,83;24,9;24,1;1;1;0,096999995
26;6;17,19;26,7;0,1;20,6;20,6;1,031
26;6;17,19;26,7;0,15;20,2;20,2;1,022
26;6;17,19;26,7;0,7;17,5;17,5;0,751
26;6;17,19;26,7;1,3;17,2;17,2;0,70199996
26;6;17,19;26,7;2,5;16,4;16,4;0,621
26;6;17,19;26,7;3,7;15,9;15,9;0,568
26;6;17,19;26,7;4,9;15,4;15,4;0,57
26;6;17,19;26,7;6,1;15,3;15,3;0,581
26;6;17,19;26,7;7,3;14,5;14,5;0,382
26;6;17,19;26,7;8,5;14,1;14,1;0,432
26;6;17,19;26,7;9,7;13,7;13,7;0,37600002
26;6;17,19;26,7;10,9;13,1;13,1;0,325
26;6;17,19;26,7;12,1;12,1;12,1;0,306
26;6;17,19;26,7;13,3;11,7;11,7;0,327
26;6;17,19;26,7;14,5;11,1;11,1;0,345
26;6;17,19;26,7;15,7;10,5;10,5;0,26900002
26;6;17,19;26,7;16,9;10,2;10,2;0,31100002
26;6;17,19;26,7;18,1;9,1;9,1;0,291
26;6;17,19;26,7;19,3;8,2;8,2;0,303
26;6;17,19;26,7;20,5;7,5;7,5;0,281
26;6;17,19;26,7;21,7;6,5;6,5;0,29299998
26;6;17,19;26,7;22,9;5,1;5,1;0,251
26;6;17,19;26,7;24,1;3,9;3,9;0,23400001
26;6;17,19;26,7;25,3;2,4;2,4;0,184
26;6;17,19;26,7;26,3;1,1;1,1;0,113000005
26;7;14,01;26,8;0,1;17;17;1,009
26;7;14,01;26,8;0,15;16,7;16,7;0,781
26;7;14,01;26,8;0,7;14,9;14,9;0,626
26;7;14,01;26,8;1,3;14;14;0,509
26;7;14,01;26,8;2,5;13,6;13,6;0,49100003
26;7;14,01;26,8;3,7;13,5;13,5;0,45
26;7;14,01;26,8;4,9;13,3;13,3;0,421
26;7;14,01;26,8;6,1;12,9;12,9;0,416
26;7;14,01;26,8;7,3;12,7;12,7;0,45299998
26;7;14,01;26,8;8,5;12,5;12,5;0,359
26;7;14,01;26,8;9,7;11,5;11,5;0,31199998
26;7;14,01;26,8;10,9;10,9;10,9;0,285
26;7;14,01;26,8;12,1;10,6;10,6;0,28599998
26;7;14,01;26,8;13,3;10,1;10,1;0,284
26;7;14,01;26,8;14,5;9,5;9,5;0,32
26;7;14,01;26,8;15,7;8,8;8,8;0,259
26;7;14,01;26,8;16,9;8,2;8,2;0,261
26;7;14,01;26,8;18,1;7,8;7,8;0,284
26;7;14,01;26,8;19,3;7,4;7,4;0,31100002
26;7;14,01;26,8;20,5;6,4;6,4;0,3
26;7;14,01;26,8;21,7;5,8;5,8;0,305
26;7;14,01;26,8;22,9;5,2;5,2;0,315
26;7;14,01;26,8;24,1;4,2;4,2;0,271
26;7;14,01;26,8;25,3;2,7;2,7;0,176
26;7;14,01;26,8;26,2;1,1;1,1;0,118
26;8;20,02;28,2;0,1;24,61;24,61;1,245
26;8;20,02;28,2;0,7;21,07;21,07;1,03
26;8;20,02;28,2;1,3;20,02;20,02;0,5925
26;8;20,02;28,2;2,5;18,49;18,49;0,623
26;8;20,02;28,2;3,7;18,08;18,08;0,416
26;8;20,02;28,2;4,9;17,57;17,57;0,4015
26;8;20,02;28,2;6,1;17,54;17,54;0,395
26;8;20,02;28,2;7,3;17,19;17,19;0,4535
26;8;20,02;28,2;8,5;16,11;16,11;0,402
26;8;20,02;28,2;9,7;14,96;14,96;0,379
26;8;20,02;28,2;10,9;14,48;14,48;0,345
26;8;20,02;28,2;12,1;14,13;14,13;0,385
26;8;20,02;28,2;13,3;12,99;12,99;0,347
26;8;20,02;28,2;14,5;12,16;12,16;0,31
26;8;20,02;28,2;15,7;11,71;11,71;0,332
26;8;20,02;28,2;16,9;11,36;11,36;0,3075
26;8;20,02;28,2;18,1;10,03;10,03;0,345
26;8;20,02;28,2;19,3;9,39;9,39;0,2455
26;8;20,02;28,2;20,5;8,47;8,47;0,3135
26;8;20,02;28,2;21,7;7,64;7,64;0,3005
26;8;20,02;28,2;22,9;6,62;6,62;0,327
26;8;20,02;28,2;24,1;5,89;5,89;0,2555
26;8;20,02;28,2;25,3;4,01;4,01;0,2015
26;8;20,02;28,2;26,5;2,61;2,61;0,134
26;8;20,02;28,2;27,6;1,02;1,02;0,0615
26;9;21,17;24,2;0,1;27,37;27,37;1,123
26;9;21,17;24,2;0,7;22,66;22,66;1,1215
26;9;21,17;24,2;1,3;21,17;21,17;0,783
26;9;21,17;24,2;2,5;19,86;19,86;0,7735
26;9;21,17;24,2;3,7;18,53;18,53;0,5125
26;9;21,17;24,2;4,9;17,98;17,98;0,5165
26;9;21,17;24,2;6,1;16,87;16,87;0,4275
26;9;21,17;24,2;7,3;16,62;16,62;0,4845
26;9;21,17;24,2;8,5;16,01;16,01;0,4875
26;9;21,17;24,2;9,7;14,48;14,48;0,443
26;9;21,17;24,2;10,9;13,53;13,53;0,408
26;9;21,17;24,2;12,1;13,08;13,08;0,3945
26;9;21,17;24,2;13,3;12;12;0,3945
26;9;21,17;24,2;14,5;10,92;10,92;0,3635
26;9;21,17;24,2;15,7;10,12;10,12;0,3665
26;9;21,17;24,2;16,9;9,23;9,23;0,386
26;9;21,17;24,2;18,1;8,5;8,5;0,4135
26;9;21,17;24,2;19,3;7,38;7,38;0,3865
26;9;21,17;24,2;20,5;5,95;5,95;0,308
26;9;21,17;24,2;21,7;4,14;4,14;0,227
26;9;21,17;24,2;22,9;2,16;2,16;0,112
26;9;21,17;24,2;23,6;0,83;0,83;0,0675
26;10;22,6;27,6;0,1;25,21;25,21;1,2555
26;10;22,6;27,6;0,7;23,62;23,62;1,1335
26;10;22,6;27,6;1,3;22,6;22,6;0,823
26;10;22,6;27,6;2,5;21,04;21,04;0,586
26;10;22,6;27,6;3,7;20,15;20,15;0,4525
26;10;22,6;27,6;4,9;19,45;19,45;0,4815
26;10;22,6;27,6;6,1;18,53;18,53;0,399
26;10;22,6;27,6;7,3;18,14;18,14;0,404
26;10;22,6;27,6;8,5;17,41;17,41;0,4045
26;10;22,6;27,6;9,7;16,3;16,3;0,349
26;10;22,6;27,6;10,9;15,92;15,92;0,3475
26;10;22,6;27,6;12,1;15,34;15,34;0,391
26;10;22,6;27,6;13,3;14,96;14,96;0,402
26;10;22,6;27,6;14,5;13,75;13,75;0,3615
26;10;22,6;27,6;15,7;13,05;13,05;0,368
26;10;22,6;27,6;16,9;12,29;12,29;0,3385
26;10;22,6;27,6;18,1;11,43;11,43;0,3095
26;10;22,6;27,6;19,3;9,99;9,99;0,2405
26;10;22,6;27,6;20,5;9,36;9,36;0,3025
26;10;22,6;27,6;21,7;8,75;8,75;0,3405
26;10;22,6;27,6;22,9;7;7;0,2715
26;10;22,6;27,6;24,1;6,05;6,05;0,315
26;10;22,6;27,6;25,3;4,46;4,46;0,228
26;10;22,6;27,6;26,5;2,23;2,23;0,107
26;10;22,6;27,6;27,2;1,02;1,02;0,0765
26;11;9,07;16,1;0,1;11,17;11,17;0,6995
26;11;9,07;16,1;0,7;9,96;9,96;0,4595
26;11;9,07;16,1;1,3;9,07;9,07;0,2505
26;11;9,07;16,1;2,5;8,69;8,69;0,2075
26;11;9,07;16,1;3,7;7,96;7,96;0,1895
26;11;9,07;16,1;4,9;7,48;7,48;0,185
26;11;9,07;16,1;6,1;6,97;6,97;0,1805
26;11;9,07;16,1;7,3;6,43;6,43;0,168
26;11;9,07;16,1;8,5;6,05;6,05;0,139
26;11;9,07;16,1;9,7;4,93;4,93;0,1295
26;11;9,07;16,1;10,9;4,46;4,46;0,1095
26;11;9,07;16,1;12,1;3,76;3,76;0,119
26;11;9,07;16,1;13,3;3,02;3,02;0,115
26;11;9,07;16,1;14,5;1,91;1,91;0,1065
26;11;9,07;16,1;15,7;0,8;0,8;0,0755
26;12;16,07;26,7;0,1;20,37;20,37;1,413
26;12;16,07;26,7;0,7;16,84;16,84;0,5155
26;12;16,07;26,7;1,3;16,07;16,07;0,69
26;12;16,07;26,7;2,5;15,28;15,28;0,6
26;12;16,07;26,7;3,7;14,61;14,61;0,423
26;12;16,07;26,7;4,9;14,16;14,16;0,389
26;12;16,07;26,7;6,1;14,01;14,01;0,4265
26;12;16,07;26,7;7,3;13,53;13,53;0,3465
26;12;16,07;26,7;8,5;13,08;13,08;0,4195
26;12;16,07;26,7;9,7;12,41;12,41;0,379
26;12;16,07;26,7;10,9;11,78;11,78;0,353
26;12;16,07;26,7;12,1;11,24;11,24;0,32
26;12;16,07;26,7;13,3;10,79;10,79;0,3055
26;12;16,07;26,7;14,5;10,15;10,15;0,336
26;12;16,07;26,7;15,7;9,33;9,33;0,279
26;12;16,07;26,7;16,9;8,75;8,75;0,2845
26;12;16,07;26,7;18,1;8,05;8,05;0,261
26;12;16,07;26,7;19,3;7,67;7,67;0,37
26;12;16,07;26,7;20,5;7;7;0,3505
26;12;16,07;26,7;21,7;5,89;5,89;0,2975
26;12;16,07;26,7;22,9;5,09;5,09;0,254
26;12;16,07;26,7;24,1;4,14;4,14;0,2335
26;12;16,07;26,7;25,3;2,29;2,29;0,1315
26;12;16,07;26,7;26,1;0,86;0,86;0,0585
26;13;17,03;23,5;0,1;21,65;21,65;1,087
26;13;17,03;23,5;0,7;17,83;17,83;0,88
26;13;17,03;23,5;1,3;17,03;17,03;0,643
26;13;17,03;23,5;2,5;15,57;15,57;0,4305
26;13;17,03;23,5;3,7;14,9;14,9;0,3095
