"codfazenda";"codplantio";"areaplantio";"matgen";"espacamento";"parcela";"areaparc";"x";"y";"srid";"idade";"fila";"cova";"fuste";"cat";"dap";"ht"
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;1;1;1;"Normal";14,96;22
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;1;2;1;"Normal";17,41;22,2
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;1;3;1;"Normal";12,99;20
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;1;1;"Normal";16,62;22,3
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;2;1;"Normal";16,39;22,2
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;3;1;"Normal";17,51;22
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;4;1;"Normal";13,88;20,9
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;5;1;"Normal";13,53;21,1
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;6;1;"Normal";15,5;22
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;2;7;1;"Normal";14,2;22,2
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;1;1;"Normal";13,69;21
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;2;1;"Normal";14,64;21,8
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;3;1;"Normal";13,59;21,5
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;4;1;"Normal";14,48;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;5;1;"Bifurcada";15,98;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;5;2;"Bifurcada";6,75;11,2
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;6;1;"Normal";13,05;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;7;1;"Normal";12,96;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;3;8;1;"Normal";16,07;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;1;1;"Normal";14,51;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;2;1;"Normal";12,64;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;3;1;"Normal";14,96;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;4;1;"Normal";11,71;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;5;1;"Normal";11,27;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;6;1;"Normal";14,26;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;7;1;"Normal";15,02;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;4;8;1;"Normal";13,37;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;5;1;1;"Normal";16,55;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;5;2;1;"Normal";13,69;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;5;3;1;"Normal";15,69;NA
759564;1794;17,31;26;"3,60X2,50";32;400;-43,27096503921;-17,6230747349652;4326;8,23;5;4;1;"Normal";16,11;NA
